id,genres,vote_average,vote_count,title,keywords,score
19995,Action Adventure Fantasy Science Fiction,7.2,11800,Avatar,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d,7.168052537972763
285,Adventure Fantasy Action,6.9,4500,Pirates of the Caribbean: At World's End,ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,6.918270815014473
206647,Action Adventure Crime,6.3,4466,Spectre,spy based on novel secret agent sequel mi6 british secret service united kingdom,6.493332868137767
49026,Action Crime Drama Thriller,7.6,9106,The Dark Knight Rises,dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman,7.492998038621371
49529,Action Adventure Science Fiction,6.1,2124,John Carter,based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d,6.500395652606434
559,Fantasy Action Adventure,5.9,3576,Spider-Man 3,dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge,6.260927846832103
38757,Animation Family,7.4,3330,Tangled,hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick,7.244556871350463
99861,Action Adventure Science Fiction,7.3,6767,Avengers: Age of Ultron,marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d,7.228004245460727
767,Adventure Fantasy Family,7.4,5293,Harry Potter and the Half-Blood Prince,witch magic broom school of witchcraft wizardry apparition teenage crush werewolf,7.2873443831348315
209112,Action Adventure Fantasy,5.7,7004,Batman v Superman: Dawn of Justice,dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe,5.9625856932380055
10764,Adventure Action Thriller Crime,6.1,2965,Quantum of Solace,killing undercover secret agent british secret service,6.430292653930078
58,Adventure Fantasy Action,7.0,5246,Pirates of the Caribbean: Dead Man's Chest,witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger,6.990396890899404
57201,Action Adventure Western,5.9,2311,The Lone Ranger,texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto,6.370961520674733
49521,Action Adventure Fantasy Science Fiction,6.5,6359,Man of Steel,saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe,6.603833866090191
24428,Science Fiction Action Adventure,7.4,11776,The Avengers,new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe,7.340989520940162
1865,Adventure Action Fantasy,6.4,4948,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,6.552512043776927
41154,Action Comedy Science Fiction,6.2,4160,Men in Black 3,time travel time machine alien fictional government agency seeing the future changing history,6.433843647287233
122917,Action Adventure Fantasy,7.1,4760,The Hobbit: The Battle of the Five Armies,corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery,7.0618282816876405
1930,Action Adventure Fantasy,6.5,6586,The Amazing Spider-Man,loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger,6.60103600658655
